,ons_code,euref,mp_x,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout,mp_name,mp_name_match,iv2_e,mp_y,iv2_c,iv2_d,iv2_g,iv1_b,iv1_d,iv1_h,iv1_j,iv1_k,iv1_l,iv1_m,iv1_o,mv3,mv2,mv1
442,E14000991,0.479241838,Sir Geoffrey Clifton-Brown MP,The Cotswolds,10351,1003,2017 General Election,80449,25499,Con Hold,59702,Sir Geoffrey Clifton-Brown,95.0,NoVote,Sir Geoffrey Clifton-Brown,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
443,E14000830,0.478055628,Rt Hon Richard Benyon MP,Newbury,10337,1022,2017 General Election,82924,24380,Con Hold,60849,Richard Benyon,74.0,NoVote,Richard Benyon,AyeVote,AyeVote,NoVote,NoVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
444,E14000694,0.477807571,Rt Hon Chris Grayling MP,Epsom and Ewell,11399,864,2017 General Election,80029,20475,Con Hold,59266,Chris Grayling,74.0,,Chris Grayling,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
445,N06000013,0.4764017475156756,Lady Hermon MP,North Down,6097,637,2017 General Election,64334,1208,Ind Hold,39185,Lady Hermon,88.0,AyeVote,Lady Hermon,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,AyeVote,AyeVote,AyeVote
446,E14001006,0.476370041,Sir Alan Campbell MP,Tynemouth,8900,931,2017 General Election,77434,11666,Lab Hold,56858,Sir Alan Campbell,92.0,AyeVote,Sir Alan Campbell,AyeVote,AyeVote,,NoVote,,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
447,S14000036,0.476138884,Peter Grant MP,Glenrothes,3897,308,2017 General Election,66378,3267,SNP Hold,40399,Peter Grant,88.0,AyeVote,Peter Grant,,AyeVote,AyeVote,NoVote,,NoVote,,,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
448,E14000850,0.475836991,Rt Hon Dr Liam Fox MP,North Somerset,11686,881,2017 General Election,80529,17103,Con Hold,61994,Dr Liam Fox,69.0,,Dr Liam Fox,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
449,E14000731,0.474785845400775,Bob Blackman MP,Harrow East,6109,317,2017 General Election,71755,1757,Con Hold,50845,Bob Blackman,89.0,NoVote,Bob Blackman,NoVote,NoVote,NoVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote
450,W07000061,0.474282288,Rt Hon Liz Saville Roberts MP,Dwyfor Meirionnydd,4064,483,2017 General Election,44699,4850,PC Hold,30348,Liz Saville Roberts,79.0,AyeVote,Liz Saville Roberts,,AyeVote,AyeVote,NoVote,AyeVote,,,,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
451,E14000824,0.473113276,Sir Paul Beresford MP,Mole Valley,11207,960,2017 General Election,74545,24137,Con Hold,56726,Sir Paul Beresford,92.0,NoVote,Sir Paul Beresford,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
