,ons_code,euref,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout
258,E14000710,0.562974291,Gedling,5813,773,2017 General Election,71223,4694,Lab Hold,51682
259,E14001014,0.56289907,Wansbeck,3210,822,2017 General Election,62151,10435,Lab Hold,42454
260,E14000621,0.56261214,Carshalton and Wallington,6627,703,2017 General Election,70849,1369,LD Hold,50753
261,E14000709,0.56223255,Gateshead,4669,707,2017 General Election,65186,17350,Lab Hold,42103
262,E14000574,0.561246243,Blaydon,4585,859,2017 General Election,68459,13477,Lab Hold,48084
263,E14000963,0.560537411,St Helens South and Whiston,4137,759,2017 General Election,79036,24343,Lab Hold,52886
264,E14001055,0.560165191,Worthing West,6980,925,2017 General Election,77757,12090,Con Hold,54503
265,E14000835,0.560133703,Newton Abbot,6151,1033,2017 General Election,71714,17160,Con Hold,51637
266,E14000735,0.559372394,Hastings and Rye,8067,1109,2017 General Election,78319,346,Con Hold,54766
267,E14000701,0.5593200537414569,Feltham and Heston,4524,525,2017 General Election,81714,15603,Lab Hold,53027
268,E14000804,0.559171965,Maidstone and The Weald,6771,930,2017 General Election,75334,17723,Con Hold,51717
269,W07000063,0.558429442,Montgomeryshire,3595,582,2017 General Election,50755,9285,Con Hold,34891
270,E14000829,0.557006959,Newark,6142,1049,2017 General Election,75510,18149,Con Hold,55042
271,E14000885,0.556726597,Preston,3225,585,2017 General Election,57791,15723,Lab Hold,35597
272,E14000580,0.555540265,Bolton West,4296,900,2017 General Election,72797,936,Con Hold,51054
273,N06000016,0.5552837805746853,Strangford,3507,539,2017 General Election,64327,18343,DUP Hold,38749
274,E14000699,0.555201073,Fareham,6240,1096,2017 General Election,78837,21555,Con Hold,57014
275,E14000739,0.55486562,Hemel Hempstead,6885,1018,2017 General Election,74415,9445,Con Hold,52282
276,E14000605,0.5536512794,Bromsgrove,5915,889,2017 General Election,73571,16573,Con Hold,54040
277,W07000065,0.553168878,Preseli Pembrokeshire,4190,751,2017 General Election,58554,314,Con Hold,42197
278,E14000554,0.552978154,Berwick-upon-Tweed,4142,896,2017 General Election,58807,11781,Con Hold,42212
279,E14000828,0.552576565,New Forest West,5995,849,2017 General Election,68786,23431,Con Hold,49627
